Spanish,English
haciendo,doing
días,days
nombre,first name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,should
tenía,had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mom
tienen,they have
luego,then
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,matters
contigo,with you
ve,go
tarde,late
oye,hears
parte,part
haber,to have
hombres,mens
problema,problem
mas,more
saber,to know
quería,wanted to
aún,yet
veces,times
nuestra,our
hacerlo,do what
cada,each
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,you
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
alguna,any
cierto,true
ud,You
muerto,dead
unos,some
estos,these
salir,get out
policía,police
realmente,Really
demasiado,too
familia,family
pueden,may
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,between
minutos,minutes
digo,I say
algún,some
serio,serious
cuidado,watch out
pasó,He passed
buenas,good
somos,we are
amor,love
puerta,door
ves,you see
vaya,go
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,account
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,still
hermano,brother
debes,you must
casi,almost
forma,shape
aqui,here
chico,boy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,car
camino,path
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,fear
adiós,goodbye
primero,First
debería,should
poder,power
niños,children
sería,would
historia,history
hey,hey
mientras,While
ciudad,city
dijiste,said
espero,I hope
cuánto,how much
esposa,wife
pronto,soon
chicos,Boys
cualquier,any
viejo,old
debemos,we must
deja,let
año,year
muerte,death
hablando,speaking
manos,hands
da,gives
loco,crazy
problemas,problems
mano,hand
guerra,war
semana,week
pasar,happen
vale,okay
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,ahead
niño,boy
listo,ready
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,only
déjame,let me
cerca,close
otros,others
sigue,follow
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,I suppose
manera,way
quieren,they want
feliz,happy
significa,it means
sangre,blood
fin,end
bajo,low
llama,call
venir,come
morir,die
importante,important
hiciste,did
ojos,eyes
escucha,listen out
entrar,get in
ningún,any
corazón,heart
diablos,Devils
necesitamos,we need
atrás,behind
durante,during
dices,you say
nuestros,our
persona,person
abajo,down
dr,dr
hija,daughter
dejar,leave
necesita,needs to
llegar,arrive
hago,I make
señora,Mrs
haya,beech
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,expensive
siquiera,at least
genial,great
cree,cree
supuesto,supposed
tomar,drink
equipo,equipment
justo,fair
juego,game
ninguna,any
matar,kill
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,I know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,would
segundo,second
aunque,although
pueda,can
dime,tell me
igual,same
comida,food
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta,return
venga,come on
creer,believe
realidad,reality
saben,they know
puta,bitch
deberías,you should
pregunta,Question
fui,I was
cuatro,four
sra,Mrs
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damn
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,opportunity
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,were
difícil,difficult
vivir,live
paso,He passed
malo,bad
estabas,you were
vivo,alive
haga,make
queda,remains
hijos,children
mayor,higher
fiesta,party
hacen,make
medio,medium
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,fourth
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,they were
carajo,fuck
final,final
lista,list
trata,about
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,quite
seguridad,security
pasando,going
esperando,waiting
acá,here
teléfono,phone
perro,dog
fuego,fire
murió,died
tampoco,neither
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,had
culpa,guilt
veras,you will see
adónde,where
buscando,searching
cuanto,how much
padres,parents
paz,peace
demonios,got damn
estará,will be
cual,which
perdón,sorry
asi,A) Yes
jugar,to play
pensando,thinking
esperar,wait
sabemos,we know
recuerdo,memory
par,pair
joven,young
seguir,follow
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,our
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,You understand
país,country
seis,six
último,latest
ésta,this
diga,tell
podrías,could you
pequeña,Loading...
cállate,Loading...
trato,Loading...
rey,Loading...
sucede,Loading...
muchachos,Loading...
jamás,Loading...
cama,Loading...
srta,Loading...
ayudar,Loading...
acerca,Loading...
di,Loading...
cambio,Loading...
falta,Loading...
hospital,Loading...
lleva,Loading...
presidente,Loading...
mil,Loading...
gusto,Loading...
conoces,Loading...
diciendo,Loading...
os,Loading...
ido,Loading...
general,Loading...
extraño,Loading...
semanas,Loading...
coche,Loading...
peor,Loading...
mucha,Loading...
disculpe,Loading...
diré,Loading...
anoche,Loading...
perder,Loading...
vámonos,Loading...
nave,Loading...
cielo,Loading...
habrá,Loading...
orden,Loading...
segura,Loading...
querida,Loading...
niña,Loading...
increíble,Loading...
además,Loading...
deben,Loading...
libro,Loading...
calle,Loading...
café,Loading...
piensas,Loading...
hacemos,Loading...
especial,Loading...
queremos,Loading...
irme,Loading...
perfecto,Loading...
buscar,Loading...
odio,Loading...
piensa,Loading...
oficina,Loading...
hablas,Loading...
libre,Loading...
agente,Loading...
york,Loading...
llamar,Loading...
mala,Loading...
detrás,Loading...
viste,Loading...
dile,Loading...
grandes,Loading...
recuerdas,Loading...
real,Loading...
estaban,Loading...
mía,Loading...
frente,Loading...
perdido,Loading...
llamo,Loading...
muertos,Loading...
millones,Loading...
asesino,Loading...
sueño,Loading...
quisiera,Loading...
habría,Loading...
hará,Loading...
viaje,Loading...
probablemente,Loading...
resto,Loading...
estaré,Loading...
maldición,Loading...
lamento,Loading...
muchacho,Loading...
avión,Loading...
ropa,Loading...
fuerza,Loading...
llamado,Loading...
oído,Loading...
dado,Loading...
encima,Loading...
negro,Loading...
usar,Loading...
información,Loading...
uds,Loading...
preguntas,Loading...
tuvo,Loading...
secreto,Loading...
vuelve,Loading...
miren,Loading...
quieras,Loading...
haría,Loading...
acaba,Loading...
otras,Loading...
incluso,Loading...
sientes,Loading...
deberíamos,Loading...
haz,Loading...
decirte,Loading...
boca,Loading...
dolor,Loading...
baño,Loading...
adentro,Loading...
profesor,Loading...
habitación,Loading...
daño,Loading...
tuyo,Loading...
seas,Loading...
noticias,Loading...
demás,Loading...
querido,Loading...
duro,Loading...
poner,Loading...
prueba,Loading...
mire,Loading...
tonto,Loading...
campo,Loading...
siendo,Loading...
diez,Loading...
ése,Loading...
tranquilo,Loading...
asunto,Loading...
acabó,Loading...
quédate,Loading...
derecho,Loading...
placer,Loading...
recuerda,Loading...
estuve,Loading...
tratando,Loading...
ejército,Loading...
futuro,Loading...
llevar,Loading...
compañía,Loading...
venido,Loading...
listos,Loading...
haremos,Loading...
sitio,Loading...
verlo,Loading...
puesto,Loading...
atención,Loading...
sino,Loading...
cambiar,Loading...
error,Loading...
blanco,Loading...
raro,Loading...
palabras,Loading...
llegó,Loading...
sal,Loading...
pase,Loading...
mente,Loading...
sistema,Loading...
película,Loading...
anda,Loading...
ello,Loading...
negocio,Loading...
novia,Loading...
permiso,Loading...
creí,Loading...
suena,Loading...
ocurre,Loading...
oficial,Loading...
espere,Loading...
aire,Loading...
mató,Loading...
regresar,Loading...
vio,Loading...
hazlo,Loading...
trasero,Loading...
grupo,Loading...
entendido,Loading...
señorita,Loading...
música,Loading...
perra,Loading...
conoce,Loading...
empezar,Loading...
siente,Loading...
acabo,Loading...
estúpido,Loading...
diferente,Loading...
traje,Loading...
modo,Loading...
encontré,Loading...
mensaje,Loading...
llamada,Loading...
navidad,Loading...
eras,Loading...
pena,Loading...
largo,Loading...
entra,Loading...
piso,Loading...
foto,Loading...
dijeron,Loading...
médico,Loading...
accidente,Loading...
fuiste,Loading...
imposible,Loading...
podríamos,Loading...
línea,Loading...
propia,Loading...
barco,Loading...
ganar,Loading...
normal,Loading...
segundos,Loading...
vive,Loading...
mitad,Loading...
quiera,Loading...
tras,Loading...
decirle,Loading...
lindo,Loading...
funciona,Loading...
programa,Loading...
vine,Loading...
abre,Loading...
sean,Loading...
pagar,Loading...
fotos,Loading...
centro,Loading...
supone,Loading...
basura,Loading...
situación,Loading...
mejores,Loading...
vienen,Loading...
encanta,Loading...
marido,Loading...
personal,Loading...
maestro,Loading...
hambre,Loading...
ataque,Loading...
culo,Loading...
dale,Loading...
pie,Loading...
conseguir,Loading...
trabajando,Loading...
gracioso,Loading...
dejó,Loading...
pudo,Loading...
derecha,Loading...
izquierda,Loading...
próxima,Loading...
pobre,Loading...
respuesta,Loading...
tipos,Loading...
sentir,Loading...
tenías,Loading...
pude,Loading...
darle,Loading...
voz,Loading...
amiga,Loading...
gustan,Loading...
vista,Loading...
salvo,Loading...
loca,Loading...
hotel,Loading...
hicieron,Loading...
ten,Loading...
temo,Loading...
señal,Loading...
pelo,Loading...
llevo,Loading...
ayer,Loading...
das,Loading...
nena,Loading...
servicio,Loading...
tren,Loading...
bonito,Loading...
mes,Loading...
tendrá,Loading...
tendrás,Loading...
edad,Loading...
ellas,Loading...
hermosa,Loading...
honor,Loading...
simplemente,Loading...
llamas,Loading...
tengas,Loading...
corre,Loading...
baja,Loading...
sol,Loading...
siéntate,Loading...
dan,Loading...
humano,Loading...
divertido,Loading...
sexo,Loading...
vuelto,Loading...
peligro,Loading...
mesa,Loading...
siguiente,Loading...
hablo,Loading...
disculpa,Loading...
decirme,Loading...
caja,Loading...
negocios,Loading...
misión,Loading...
silencio,Loading...
sale,Loading...
llegado,Loading...
estaría,Loading...
regreso,Loading...
media,Loading...
estan,Loading...
propio,Loading...
oro,Loading...
enseguida,Loading...
linda,Loading...
prometo,Loading...
esposo,Loading...
norte,Loading...
hubo,Loading...
juro,Loading...
muerta,Loading...
interesante,Loading...
pensaba,Loading...
busca,Loading...
terminar,Loading...
tendré,Loading...
completamente,Loading...
cita,Loading...
siete,Loading...
cumpleaños,Loading...
abogado,Loading...
alrededor,Loading...
cerebro,Loading...
porqué,Loading...
llave,Loading...
santo,Loading...
hermoso,Loading...
necesario,Loading...
edificio,Loading...
irnos,Loading...
aun,Loading...
tendremos,Loading...
vayas,Loading...
doy,Loading...
trae,Loading...
salió,Loading...
ley,Loading...
ahi,Loading...
verdadero,Loading...
pelea,Loading...
banco,Loading...
terrible,Loading...
calma,Loading...
cena,Loading...
daré,Loading...
gobierno,Loading...
comprar,Loading...
creen,Loading...
sargento,Loading...
destino,Loading...
existe,Loading...
hacía,Loading...
novio,Loading...
sala,Loading...
través,Loading...
regalo,Loading...
iglesia,Loading...
decía,Loading...
cualquiera,Loading...
excelente,Loading...
esperen,Loading...
deseo,Loading...
alma,Loading...
diablo,Loading...
deje,Loading...
cuántos,Loading...
espada,Loading...
estábamos,Loading...
carne,Loading...
maravilloso,Loading...
vidas,Loading...
sucedió,Loading...
oí,Loading...
peligroso,Loading...
dirección,Loading...
libertad,Loading...
jesús,Loading...
ocurrió,Loading...
veré,Loading...
sueños,Loading...
pudiera,Loading...
detective,Loading...
sorpresa,Loading...
tuya,Loading...
pies,Loading...
club,Loading...
terminado,Loading...
infierno,Loading...
creía,Loading...
luna,Loading...
salvar,Loading...
carta,Loading...
estés,Loading...
cielos,Loading...
teniente,Loading...
encuentra,Loading...
veamos,Loading...
quise,Loading...
escúchame,Loading...
necesitan,Loading...
ambos,Loading...
decisión,Loading...
enemigo,Loading...
hicimos,Loading...
dulce,Loading...
pruebas,Loading...
querías,Loading...
abuelo,Loading...
totalmente,Loading...
mirando,Loading...
vayan,Loading...
carrera,Loading...
